benchmark,n,sample,time
compose_small,0,0,0.0029892942548030987
compose_small,0,1,0.0029550945037044585
compose_small,0,2,0.0029813302535330877
compose_small,0,3,0.002966528249089606
compose_small,0,4,0.002987326748552732
compose_small,0,5,0.0030081379954935983
compose_small,0,6,0.0029647072515217587
compose_small,0,7,0.0029948115115985274
compose_small,0,8,0.003090956248342991
compose_small,0,9,0.0030871310009388253
compose_small,1,0,0.0019720324974817536
compose_small,1,1,0.002023151668254286
compose_small,1,2,0.0020258306661465517
compose_small,1,3,0.002020745499369999
compose_small,1,4,0.0019509874982759356
compose_small,1,5,0.0020010198350064456
compose_small,1,6,0.0020141271622075387
compose_small,1,7,0.002039953493901218
compose_small,1,8,0.0019950255033715316
compose_small,1,9,0.001997476996621117
compose_small,2,0,0.002050253164876873
compose_small,2,1,0.001960583661760514
compose_small,2,2,0.0019528814979518454
compose_small,2,3,0.0019549065036699176
compose_small,2,4,0.0020082736640082053
compose_small,2,5,0.001987868337891996
compose_small,2,6,0.0019473758293315768
compose_small,2,7,0.0019270261691417545
compose_small,2,8,0.0019107299934451778
compose_small,2,9,0.0019249194980754207
compose_small,3,0,0.0019451161691298087
compose_small,3,1,0.001972273826443901
compose_small,3,2,0.0019350379977064829
compose_small,3,3,0.002010585662598411
compose_small,3,4,0.0020082666693876186
compose_small,3,5,0.0019120131716287385
compose_small,3,6,0.0019466525021319587
compose_small,3,7,0.001972047670278698
compose_small,3,8,0.0019590914986717203
compose_small,3,9,0.0019442129996605217
compose_small,4,0,0.0020187066053040325
compose_small,4,1,0.002289485395886004
compose_small,4,2,0.002336276206187904
compose_small,4,3,0.0020434798090718685
compose_small,4,4,0.0020426632021553815
compose_small,4,5,0.0019139365991577505
compose_small,4,6,0.0019592750002630057
compose_small,4,7,0.0019520689966157079
compose_small,4,8,0.0019532061996869743
compose_small,4,9,0.001960703590884805
compose_small,5,0,0.0019613838327738145
compose_small,5,1,0.0019466980011202395
compose_small,5,2,0.0020459541604698948
compose_small,5,3,0.0019570153284197054
compose_small,5,4,0.0032503659992168346
compose_small,5,5,0.002014503668760881
compose_small,5,6,0.0019072904930605243
compose_small,5,7,0.0019268808343137305
compose_small,5,8,0.0019568596714331457
compose_small,5,9,0.0019985668283576765
compose_small,6,0,0.0021663155988790096
compose_small,6,1,0.00261983199743554
compose_small,6,2,0.0020861226017586886
compose_small,6,3,0.0020208130008541048
