benchmark,n,sample,time
compose_small,12,0,1276268992.000000
compose_small,12,1,1277480563.000000
compose_small,12,2,1284889655.000000
compose_small,12,3,1288905564.000000
compose_small,12,4,1289973107.000000
compose_small,12,5,1290523961.000000
compose_small,12,6,1291286868.000000
compose_small,12,7,1294193622.000000
compose_small,12,8,1318932026.000000
compose_small,12,9,1361444624.000000
compose_small,13,0,4259129501.000000
compose_small,13,1,4260918600.000000
compose_small,13,2,4300428086.000000
compose_small,13,3,4308323900.000000
compose_small,13,4,4308827222.000000
compose_small,13,5,4311654829.000000
compose_small,13,6,4312039927.000000
compose_small,13,7,4312911303.000000
compose_small,13,8,4413917120.000000
compose_small,13,9,4442872280.000000
compose_small,14,0,15048372664.000000
compose_small,14,1,15053261583.000000
compose_small,14,2,15101878956.000000
compose_small,14,3,15105818605.000000
compose_small,14,4,15110060965.000000
compose_small,14,5,15157315880.000000
compose_small,14,6,15160850459.000000
compose_small,14,7,15256342142.000000
compose_small,14,8,15299059920.000000
compose_small,14,9,15336238065.000000
compose_small,15,0,55744696355.000000
compose_small,15,1,56204249592.000000
compose_small,15,2,56218228105.000000
compose_small,15,3,56227651282.000000
compose_small,15,4,56231247878.000000
compose_small,15,5,56240275247.000000
compose_small,15,6,56243726235.000000
compose_small,15,7,56432066577.000000
compose_small,15,8,56485143011.000000
compose_small,15,9,56551907118.000000
compose_large,1,0,1358141.000000
compose_large,1,1,1443567.000000
compose_large,1,2,1444291.000000
compose_large,1,3,1444296.000000
compose_large,1,4,1447849.000000
compose_large,1,5,1448010.000000
compose_large,1,6,1451173.000000
compose_large,1,7,1478684.000000
compose_large,1,8,1480825.000000
compose_large,1,9,1486428.000000
compose_large,2,0,3343775.000000
compose_large,2,1,3445029.000000
compose_large,2,2,3462020.000000
compose_large,2,3,3469743.000000
compose_large,2,4,3476794.000000
compose_large,2,5,3498410.000000
compose_large,2,6,3502157.000000
compose_large,2,7,3505713.000000
compose_large,2,8,3522342.000000
compose_large,2,9,3530058.000000
compose_large,3,0,9839672.000000
compose_large,3,1,10023251.000000
compose_large,3,2,10169999.000000
compose_large,3,3,10194090.000000
compose_large,3,4,10356408.000000
compose_large,3,5,10383256.000000
compose_large,3,6,10399418.000000
compose_large,3,7,10498387.000000
compose_large,3,8,10500139.000000
compose_large,3,9,10513055.000000
compose_large,4,0,28698209.000000
compose_large,4,1,28758271.000000
compose_large,4,2,29242695.000000
compose_large,4,3,32970919.000000
compose_large,4,4,35130138.000000
compose_large,4,5,36128041.000000
compose_large,4,6,36291512.000000
compose_large,4,7,36294007.000000
compose_large,4,8,40517539.000000
compose_large,4,9,44158818.000000
compose_large,5,0,132722147.000000
compose_large,5,1,132871674.000000
compose_large,5,2,134483869.000000
compose_large,5,3,134839552.000000
compose_large,5,4,135872690.000000
compose_large,5,5,139518037.000000
compose_large,5,6,140503955.000000
compose_large,5,7,145415712.000000
compose_large,5,8,146299710.000000
compose_large,5,9,146749075.000000
compose_large,6,0,648321685.000000
compose_large,6,1,652620702.000000
compose_large,6,2,652769899.000000
compose_large,6,3,653635474.000000
compose_large,6,4,655151147.000000
compose_large,6,5,656488907.000000
compose_large,6,6,656921200.000000
compose_large,6,7,658723803.000000
compose_large,6,8,658833655.000000
compose_large,6,9,668977984.000000
compose_large,7,0,3238511167.000000
compose_large,7,1,3257486178.000000
compose_large,7,2,3259113823.000000
compose_large,7,3,3262064095.000000
compose_large,7,4,3270356028.000000
compose_large,7,5,3273769757.000000
compose_large,7,6,3276133103.000000
compose_large,7,7,3286542723.000000
compose_large,7,8,3292960665.000000
compose_large,7,9,3294848402.000000
compose_large,8,0,17083356768.000000
compose_large,8,1,17142037005.000000
compose_large,8,2,17195890162.000000
compose_large,8,3,17217722931.000000
compose_large,8,4,17219838598.000000
compose_large,8,5,17324395175.000000
compose_large,8,6,17337880291.000000
compose_large,8,7,17363081250.000000
compose_large,8,8,17421553389.000000
compose_large,8,9,17468960860.000000
